X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-3.00E+08,5.00E+05
175,5.76E+00,1.18E+01,,
176,5.84E+00,1.17E+01,,
177,5.76E+00,1.18E+01,,
178,5.76E+00,1.17E+01,,
179,5.84E+00,1.18E+01,,
180,5.76E+00,1.17E+01,,
181,5.88E+00,1.18E+01,,
182,5.80E+00,1.17E+01,,
183,5.88E+00,1.18E+01,,
184,5.88E+00,1.17E+01,,
185,5.80E+00,1.18E+01,,
186,5.80E+00,1.17E+01,,
187,5.88E+00,1.18E+01,,
188,5.80E+00,1.17E+01,,
189,5.92E+00,1.18E+01,,
190,5.84E+00,1.18E+01,,
191,5.92E+00,1.17E+01,,
192,5.92E+00,1.18E+01,,
193,5.84E+00,1.17E+01,,
194,5.92E+00,1.17E+01,,
195,5.84E+00,1.18E+01,,
196,5.84E+00,1.17E+01,,
197,5.92E+00,1.18E+01,,
198,5.84E+00,1.18E+01,,
199,5.96E+00,1.17E+01,,
200,5.96E+00,1.17E+01,,
201,5.88E+00,1.18E+01,,
202,5.96E+00,1.18E+01,,
203,5.88E+00,1.17E+01,,
204,5.96E+00,1.18E+01,,
205,5.88E+00,1.17E+01,,
206,5.88E+00,1.17E+01,,
207,5.96E+00,1.18E+01,,
208,5.92E+00,1.18E+01,,
209,6.00E+00,1.17E+01,,
210,6.00E+00,1.17E+01,,
211,5.92E+00,1.18E+01,,
212,5.92E+00,1.17E+01,,
213,6.00E+00,1.18E+01,,
214,6.00E+00,1.17E+01,,
215,5.92E+00,1.18E+01,,
216,5.92E+00,1.17E+01,,
217,6.04E+00,1.18E+01,,
218,5.96E+00,1.17E+01,,
219,6.04E+00,1.18E+01,,
220,6.04E+00,1.17E+01,,
221,5.96E+00,1.18E+01,,
222,5.96E+00,1.18E+01,,
223,6.04E+00,1.17E+01,,
224,5.96E+00,1.18E+01,,
225,6.04E+00,1.17E+01,,
226,5.96E+00,1.17E+01,,
227,6.08E+00,1.18E+01,,
228,6.08E+00,1.18E+01,,
229,6.00E+00,1.17E+01,,
230,6.08E+00,1.18E+01,,
231,6.00E+00,1.17E+01,,
232,6.08E+00,1.17E+01,,
233,6.00E+00,1.18E+01,,
234,6.00E+00,1.17E+01,,
235,6.08E+00,1.18E+01,,
236,6.00E+00,1.17E+01,,
237,6.08E+00,1.18E+01,,
238,6.00E+00,1.17E+01,,
239,6.12E+00,1.18E+01,,
240,6.12E+00,1.17E+01,,
241,6.04E+00,1.18E+01,,
242,6.04E+00,1.17E+01,,
243,6.12E+00,1.18E+01,,
244,6.12E+00,1.18E+01,,
245,6.04E+00,1.17E+01,,
246,6.12E+00,1.17E+01,,
247,6.04E+00,1.18E+01,,
248,6.12E+00,1.17E+01,,
249,6.04E+00,1.18E+01,,
250,6.04E+00,1.18E+01,,
251,6.16E+00,1.17E+01,,
252,6.08E+00,1.18E+01,,
253,6.16E+00,1.17E+01,,
254,6.16E+00,1.18E+01,,
255,6.08E+00,1.17E+01,,
256,6.08E+00,1.18E+01,,
257,6.16E+00,1.17E+01,,
258,6.08E+00,1.17E+01,,
259,6.16E+00,1.18E+01,,
260,6.08E+00,1.17E+01,,
261,6.20E+00,1.18E+01,,
262,6.08E+00,1.17E+01,,
263,6.20E+00,1.18E+01,,
264,6.08E+00,1.18E+01,,
265,6.20E+00,1.17E+01,,
266,6.16E+00,1.17E+01,,
267,6.20E+00,1.18E+01,,
268,6.20E+00,1.17E+01,,
269,6.12E+00,1.18E+01,,
270,6.20E+00,1.17E+01,,
271,6.12E+00,1.18E+01,,
272,6.12E+00,1.17E+01,,
273,6.20E+00,1.18E+01,,
274,6.12E+00,1.18E+01,,
275,6.20E+00,1.17E+01,,
276,6.12E+00,1.18E+01,,
277,6.24E+00,1.17E+01,,
278,6.16E+00,1.17E+01,,
279,6.24E+00,1.18E+01,,
