X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-3.00E+08,5.00E+05
765,6.65E+00,1.18E+01,,
766,6.57E+00,1.18E+01,,
767,6.65E+00,1.17E+01,,
768,6.65E+00,1.17E+01,,
769,6.57E+00,1.18E+01,,
770,6.65E+00,1.17E+01,,
771,6.57E+00,1.18E+01,,
772,6.65E+00,1.18E+01,,
773,6.57E+00,1.17E+01,,
774,6.65E+00,1.18E+01,,
775,6.57E+00,1.17E+01,,
776,6.57E+00,1.17E+01,,
777,6.65E+00,1.18E+01,,
778,6.57E+00,1.18E+01,,
779,6.65E+00,1.17E+01,,
780,6.65E+00,1.18E+01,,
781,6.57E+00,1.17E+01,,
782,6.57E+00,1.18E+01,,
783,6.65E+00,1.17E+01,,
784,6.57E+00,1.17E+01,,
785,6.65E+00,1.18E+01,,
786,6.65E+00,1.17E+01,,
787,6.57E+00,1.18E+01,,
788,6.57E+00,1.17E+01,,
789,6.65E+00,1.18E+01,,
790,6.57E+00,1.17E+01,,
791,6.65E+00,1.18E+01,,
792,6.57E+00,1.17E+01,,
793,6.65E+00,1.18E+01,,
794,6.57E+00,1.18E+01,,
795,6.65E+00,1.17E+01,,
796,6.65E+00,1.17E+01,,
797,6.57E+00,1.18E+01,,
798,6.57E+00,1.18E+01,,
799,6.65E+00,1.17E+01,,
800,6.66E+00,1.18E+01,,
801,6.62E+00,1.18E+01,,
802,6.70E+00,1.17E+01,,
803,6.62E+00,1.18E+01,,
804,6.70E+00,1.17E+01,,
805,6.62E+00,1.17E+01,,
806,6.70E+00,1.18E+01,,
807,6.62E+00,1.18E+01,,
808,6.62E+00,1.17E+01,,
809,6.70E+00,1.17E+01,,
810,6.62E+00,1.18E+01,,
811,6.70E+00,1.18E+01,,
812,6.70E+00,1.17E+01,,
813,6.62E+00,1.18E+01,,
814,6.62E+00,1.18E+01,,
815,6.70E+00,1.17E+01,,
816,6.62E+00,1.18E+01,,
817,6.70E+00,1.17E+01,,
818,6.62E+00,1.17E+01,,
819,6.70E+00,1.18E+01,,
820,6.62E+00,1.18E+01,,
821,6.70E+00,1.17E+01,,
822,6.62E+00,1.18E+01,,
823,6.70E+00,1.17E+01,,
824,6.70E+00,1.18E+01,,
825,6.62E+00,1.17E+01,,
826,6.70E+00,1.17E+01,,
827,6.62E+00,1.17E+01,,
828,6.70E+00,1.18E+01,,
829,6.62E+00,1.17E+01,,
830,6.70E+00,1.18E+01,,
831,6.62E+00,1.17E+01,,
832,6.70E+00,1.18E+01,,
833,6.62E+00,1.17E+01,,
834,6.70E+00,1.18E+01,,
835,6.66E+00,1.17E+01,,
836,6.70E+00,1.18E+01,,
837,6.62E+00,1.18E+01,,
838,6.66E+00,1.17E+01,,
839,6.70E+00,1.17E+01,,
840,6.62E+00,1.18E+01,,
841,6.70E+00,1.18E+01,,
842,6.62E+00,1.17E+01,,
843,6.70E+00,1.18E+01,,
844,6.70E+00,1.18E+01,,
845,6.62E+00,1.17E+01,,
846,6.70E+00,1.18E+01,,
847,6.62E+00,1.17E+01,,
848,6.70E+00,1.17E+01,,
849,6.62E+00,1.18E+01,,
850,6.62E+00,1.18E+01,,
851,6.70E+00,1.17E+01,,
852,6.62E+00,1.17E+01,,
853,6.70E+00,1.18E+01,,
854,6.70E+00,1.18E+01,,
855,6.62E+00,1.17E+01,,
856,6.70E+00,1.18E+01,,
857,6.62E+00,1.18E+01,,
858,6.70E+00,1.17E+01,,
859,6.62E+00,1.18E+01,,
860,6.70E+00,1.17E+01,,
861,6.62E+00,1.17E+01,,
862,6.62E+00,1.18E+01,,
863,6.70E+00,1.18E+01,,
864,6.62E+00,1.17E+01,,
865,6.70E+00,1.18E+01,,
866,6.70E+00,1.17E+01,,
867,6.62E+00,1.18E+01,,
868,6.62E+00,1.17E+01,,
869,6.70E+00,1.18E+01,,
870,6.62E+00,1.18E+01,,
871,6.70E+00,1.17E+01,,
872,6.70E+00,1.18E+01,,
873,6.62E+00,1.17E+01,,
874,6.62E+00,1.17E+01,,
875,6.70E+00,1.17E+01,,
876,6.62E+00,1.18E+01,,
877,6.70E+00,1.17E+01,,
878,6.62E+00,1.18E+01,,
879,6.70E+00,1.17E+01,,
880,6.62E+00,1.18E+01,,
881,6.70E+00,1.17E+01,,
882,6.63E+00,1.18E+01,,
883,6.71E+00,1.17E+01,,
884,6.63E+00,1.18E+01,,
885,6.71E+00,1.17E+01,,
886,6.71E+00,1.18E+01,,
887,6.63E+00,1.17E+01,,
888,6.63E+00,1.18E+01,,
889,6.71E+00,1.18E+01,,
890,6.63E+00,1.17E+01,,
891,6.71E+00,1.18E+01,,
892,6.71E+00,1.17E+01,,
893,6.63E+00,1.18E+01,,
894,6.63E+00,1.17E+01,,
895,6.71E+00,1.18E+01,,
896,6.63E+00,1.17E+01,,
897,6.71E+00,1.18E+01,,
898,6.63E+00,1.17E+01,,
899,6.71E+00,1.18E+01,,
900,6.63E+00,1.18E+01,,
901,6.64E+00,1.17E+01,,
902,6.72E+00,1.18E+01,,
903,6.64E+00,1.18E+01,,
904,6.72E+00,1.17E+01,,
905,6.72E+00,1.17E+01,,
906,6.64E+00,1.18E+01,,
907,6.64E+00,1.18E+01,,
908,6.72E+00,1.17E+01,,
909,6.64E+00,1.18E+01,,
910,6.72E+00,1.18E+01,,
911,6.72E+00,1.17E+01,,
912,6.64E+00,1.18E+01,,
913,6.64E+00,1.17E+01,,
914,6.72E+00,1.17E+01,,
915,6.64E+00,1.18E+01,,
916,6.72E+00,1.18E+01,,
917,6.64E+00,1.17E+01,,
918,6.72E+00,1.17E+01,,
919,6.64E+00,1.18E+01,,
920,6.72E+00,1.18E+01,,
921,6.72E+00,1.17E+01,,
922,6.64E+00,1.18E+01,,
923,6.64E+00,1.18E+01,,
924,6.72E+00,1.17E+01,,
925,6.64E+00,1.18E+01,,
926,6.72E+00,1.17E+01,,
927,6.64E+00,1.17E+01,,
928,6.72E+00,1.18E+01,,
929,6.64E+00,1.18E+01,,
930,6.64E+00,1.17E+01,,
931,6.72E+00,1.18E+01,,
932,6.64E+00,1.17E+01,,
933,6.72E+00,1.18E+01,,
934,6.72E+00,1.17E+01,,
935,6.64E+00,1.17E+01,,
936,6.64E+00,1.17E+01,,
937,6.72E+00,1.18E+01,,
938,6.64E+00,1.17E+01,,
939,6.72E+00,1.18E+01,,
940,6.64E+00,1.17E+01,,
941,6.72E+00,1.18E+01,,
942,6.64E+00,1.17E+01,,
943,6.72E+00,1.18E+01,,
944,6.64E+00,1.17E+01,,
945,6.72E+00,1.18E+01,,
946,6.72E+00,1.18E+01,,
947,6.64E+00,1.17E+01,,
948,6.72E+00,1.17E+01,,
949,6.64E+00,1.18E+01,,
950,6.72E+00,1.18E+01,,
951,6.64E+00,1.17E+01,,
952,6.72E+00,1.18E+01,,
953,6.64E+00,1.18E+01,,
954,6.72E+00,1.17E+01,,
955,6.64E+00,1.18E+01,,
956,6.72E+00,1.17E+01,,
957,6.68E+00,1.17E+01,,
958,6.72E+00,1.18E+01,,
959,6.64E+00,1.18E+01,,
960,6.68E+00,1.17E+01,,
961,6.72E+00,1.17E+01,,
962,6.64E+00,1.18E+01,,
963,6.72E+00,1.18E+01,,
964,6.64E+00,1.17E+01,,
965,6.72E+00,1.18E+01,,
966,6.72E+00,1.18E+01,,
967,6.64E+00,1.17E+01,,
968,6.72E+00,1.18E+01,,
969,6.64E+00,1.17E+01,,
970,6.72E+00,1.17E+01,,
971,6.64E+00,1.18E+01,,
972,6.64E+00,1.18E+01,,
973,6.72E+00,1.17E+01,,
974,6.64E+00,1.18E+01,,
975,6.72E+00,1.17E+01,,
976,6.72E+00,1.18E+01,,
977,6.64E+00,1.17E+01,,
978,6.72E+00,1.18E+01,,
979,6.64E+00,1.18E+01,,
980,6.72E+00,1.17E+01,,
981,6.64E+00,1.18E+01,,
982,6.72E+00,1.17E+01,,
983,6.64E+00,1.17E+01,,
984,6.64E+00,1.17E+01,,
985,6.72E+00,1.18E+01,,
986,6.64E+00,1.17E+01,,
987,6.72E+00,1.18E+01,,
988,6.72E+00,1.17E+01,,
989,6.64E+00,1.18E+01,,
990,6.64E+00,1.17E+01,,
991,6.72E+00,1.18E+01,,
992,6.64E+00,1.17E+01,,
993,6.72E+00,1.18E+01,,
994,6.72E+00,1.17E+01,,
995,6.64E+00,1.18E+01,,
996,6.64E+00,1.17E+01,,
997,6.72E+00,1.18E+01,,
998,6.64E+00,1.17E+01,,
999,6.72E+00,1.18E+01,,
1000,6.73E+00,1.18E+01,,
